Subject,Condition,Gender,ZSTEM,ZNonSTEM,Zevap2,Zmathdevalue,ZSAQ1,ZMATHIDcomp,ZTone_pos,ZRAT_PercentCorrect,ZNback_Correct,Zcoratmpt,ZEngpercentDiff,ZCMpercentDiff
10139,1,2,0.56417,0.10205,0.61634,-0.53269,0.47347,0.21774,0.86162,-0.52059,-0.65095,-0.26328,0.66119,-0.53624
40202,1,2,-0.38732,-0.33412,1.53818,-0.85497,1.02008,0.25811,0.85792,0.39767,-0.09617,-1.71144,-0.44350,0.77442
3796,1,2,0.76544,0.50807,-1.22735,-0.69383,0.47347,0.41959,0.86162,-0.06146,0.18122,-0.74600,-0.39859,-0.31260
10039,1,2,-0.04203,-0.05620,-0.30551,0.11185,-0.07313,0.09663,,-0.06146,,1.00386,-0.39859,-0.31260
40024,1,2,0.12491,0.04612,-1.22735,0.59527,1.02008,-0.46855,0.68260,0.39767,1.56818,0.70216,-0.01725,0.73948
12262,1,2,0.71411,0.73161,-1.22735,-0.69383,-0.07313,0.21774,0.86162,0.39767,-0.09617,-1.30917,-1.60413,-1.03445
10582,1,2,-0.32226,-0.32727,-1.22735,0.11185,-0.07313,-0.26670,0.86162,-0.97973,0.45861,0.09876,-0.68559,-0.64185
40057,1,2,0.31788,0.55190,0.61634,0.75640,0.47347,-0.10522,0.86162,1.77506,1.84557,-0.50464,-1.11230,-0.10332
40096,1,2,-0.47090,-0.38039,0.61634,1.23982,1.02008,-0.54929,0.86162,-0.52059,-0.09617,0.09876,-1.11230,-0.10332
40015,1,2,-0.10939,-0.13392,1.53818,-1.33838,0.47347,0.45996,0.63791,0.85680,-0.09617,0.70216,0.05803,-0.32848
10146,1,2,-0.25006,-0.30662,-1.22735,0.75640,0.47347,-0.50892,0.86162,0.85680,-0.92834,1.90896,-0.73235,-0.29621
10807,1,2,-0.33823,-0.28596,-1.22735,-0.53269,-0.07313,-0.06485,0.86162,1.77506,1.29079,-0.26328,-1.22123,-0.73833
10351,1,2,-0.15559,0.14257,-1.22735,0.27299,-0.07313,0.37922,-1.22266,1.31593,1.01340,-1.30917,-0.23101,-0.56132
10135,1,2,0.05975,0.18288,-0.30551,0.43413,-0.07313,-0.34744,0.86162,-0.52059,-0.92834,-0.80634,-1.23762,-0.47809
40030,1,2,-0.10598,0.17976,-1.22735,0.91754,0.47347,-0.30707,0.79787,0.39767,-0.09617,-0.31898,-1.43795,-1.23980
40097,1,2,-0.50768,-0.43496,0.61634,-2.14407,1.02008,0.86366,0.60091,-0.52059,0.18122,0.09876,-1.55989,-0.75073
10840,1,2,-0.14268,-0.03448,-1.22735,1.23982,-0.61974,-1.03373,0.60091,-0.06146,1.01340,-0.26328,-0.98219,-0.98798
10474,1,2,-0.08590,0.05085,-0.30551,0.43413,-0.07313,-0.22633,0.86162,0.85680,0.18122,-0.50464,-1.46098,-0.56950
4099,1,2,0.07874,0.09869,0.61634,-1.01611,0.47347,0.05626,-1.92767,1.31593,-0.37356,-0.39493,-0.06182,-0.59463
7156,1,2,-0.04275,-0.07149,-0.30551,0.27299,-0.07313,-0.10522,-0.39811,-0.97973,-0.09617,-1.71144,-0.48768,-0.59626
40146,1,2,-0.40946,-0.42066,0.61634,-0.53269,1.02008,0.50033,0.86162,0.39767,0.18122,0.35736,-0.03419,-0.27957
10017,1,2,0.33582,0.06888,1.53818,-2.14407,1.02008,0.70218,-0.67277,-0.97973,0.18122,-0.80634,0.25884,-0.21889
13096,1,2,-0.25584,-0.29086,-0.30551,1.72323,-0.61974,-0.22633,-1.22266,-0.97973,-0.92834,-1.47008,-0.32620,-0.78629
