ID	Group	gender	condition	ZENGDiff	ZSTEMMajorDiff	ZCMDiff	ZDV	Zmathid	ZSAQ1	Zevap2	ZDwrong	ZFDMNBG	ZSDMNBG	ZSFPNBG	ZFDPDBG	ZFDMNSMT	ZFDMNSMA	ZFDPDSMT	ZFDPDSMA	ZSDMNSMT	ZSFPNSMT	ZSFPNSMA	ZSDMNSMA	coratmpt
60428	1	0	0	0.083162791	-0.868120328	0.596009225	0.001556271	-1.926876358	-0.762267354	1.844006041	-1.269450982	-1.498759668	0.526357779	0.428537277	0.48053738	0.684487467	0.120924512	0.927551478	0.359397033	-0.027967315	0.165331053	-0.811874602	-0.115693368	33.33333333
60970	4	1	1	-0.288659221	-0.46176052	0.356117987	-1.429557856	0.851006899	0.010136534	-1.568464909	-0.514809625	-2.052608332	-0.078443747	-1.149884367	-0.037805699	 	-2.529911418	-0.01757635	0.378040079	0.364692082	0.245899439	0.036093651	-0.249508071	83.33333333
61341	1	0	0	0.228867171	-0.837257165	-0.649985721	0.001556271	0.100227641	-1.534671243	-1.080969059	-0.33032177	1.331939571	0.411427202	0.971683083	0.159480465	0.126228764	0.84886848	0.404112823	-1.277238083	-0.413595514	-0.513868378	0.180827432	0.354136018	33.33333333
61523	4	1	1	-2.022366175	-0.509042744	-0.956336317	-1.071779324	1.451630307	1.554944311	1.844006041	2.059955507	0.474917671	0.452361467	0.888943129	-0.238378852	-0.919838583	-0.449749803	-0.427131393	0.126698834	0.406399594	1.54657501	0.725983547	-0.686692089	100
61972	3	1	0	-0.353278809	1.087599621	0.280265039	0.180445537	0.700851048	-0.762267354	1.844006041	0.626153853	-0.020187764	-0.139739299	-0.309732433	0.126151524	0.781371876	0.545524772	0.021551003	-0.136609636	0.090391594	0.21544303	0.378104853	0.539139261	60
62101	3	1	0	-0.176558254	0.862017837	-0.321774246	0.582946385	 	 	-1.080969059	0.034612702	-0.505569767	-0.215810004	0.531319873	1.627960845	-0.136114744	-0.388233015	0.35153819	1.288580395	0.123681426	-0.047083521	0.562772519	0.461014354	42.85714286
62217	1	0	0	-0.820708931	-0.455725778	-1.7058501	-1.071779324	0.926084825	0.782540422	-1.568464909	-0.156470395	0.041090094	0.272380131	1.225115643	-1.145388866	-0.903798845	-0.841227982	-1.557916162	 	0.960028231	0.833105343	0.630489797	-0.033363078	42.85714286
62977	1	0	0	1.119248971	0.026134489	-0.14797137	-0.356222261	0.100227641	-0.762267354	-0.105977359	0.911123411	-0.72836541	0.54225508	-0.017746656	-0.779180963	-2.103195168	-0.632806098	-0.791577392	-0.2154791	1.062449925	-1.079265902	-0.349023751	0.937400878	71.42857143
63083	1	0	0	0.209000517	0.324813371	-0.102069376	0.717113335	0.100227641	1.554944311	-1.080969059	1.651770786	-0.945620322	-0.321325384	-0.288248542	0.825505387	-0.824302355	0.215733248	-0.112239083	0.772734737	-0.343268969	-0.303579735	-0.578006767	-0.13432334	37.5
63184	1	0	0	-0.008525901	1.261766969	-0.335355316	1.432670398	-1.926876358	0.010136534	1.356510191	0.118308268	-0.056422681	0.278937052	0.858117648	1.469247614	-0.99313444	-0.367495606	1.677927403	1.921716882	-0.126596102	0.75062076	1.049044818	-0.327658737	33.33333333
63644	4	1	1	0.372627365	-1.016888452	-0.236477539	-1.25066859	 	0.010136534	-1.080969059	0.843779072	-0.646938219	0.457357176	-0.327689664	-0.256522493	-0.806287106	-0.525546542	-0.543635231	0.169450235	0.687110468	-0.555607959	-0.076177815	0.715501915	33.33333333
64010	1	0	0	 	 	0.860201444	-0.892890058	1.076240677	 	-1.568464909	0.65778404	0.768824841	1.096551715	1.10788201	1.039877544	0.35794844	0.389132656	-0.65903027	-0.771821259	0.777158428	0.399714464	0.409932532	1.270068737	33.33333333
64129	2	0	1	0.209000517	0.324813371	-0.102069376	3.400452323	-2.602577691	-0.762267354	-0.593473209	0.231211936	-1.210355232	-0.029612032	0.483054069	-0.914247994	-0.682447823	-1.397148118	-0.155654316	-0.286422874	0.170399578	0.389108579	0.517466576	-0.096017987	33.33333333
64240	1	0	0	1.251476681	0.514528478	-0.670324903	0.359334803	1.451630307	0.010136534	-1.080969059	-0.035219885	 	 	 	 	 	 	 	 	 	 	 	 	66.66666667
64324	1	0	0	-0.712801811	-1.126498089	0.02541137	1.074891866	-0.575473692	-0.762267354	1.356510191	-1.32748659	 	 	 	 	 	 	 	 	 	 	 	 	36.36363636
